edition,level,pillar,dimension,indicator,construct_id,name,description,source
2021-2024,pillar,Government,,,,Government,,Oxford Insights Government AI Readiness Index
2021-2024,pillar,Technology Sector,,,,Technology Sector,,Oxford Insights Government AI Readiness Index
2021-2024,pillar,Data and Infrastructure,,,,Data and Infrastructure,,Oxford Insights Government AI Readiness Index
2021-2024,dimension,Government,Vision,,GOV_VISION,Vision,"Whether the government has a clear vision for implementing artificial intelligence. Captures the existence of an overarching, publicly available national AI strategy that articulates the government's high-level policy vision for how AI will be developed and used to benefit the country.","Oxford Insights GAIRI 2022, Annex 1"
2021-2024,dimension,Government,Governance and Ethics,,GOV_GOVERNANCE,Governance and Ethics,"Whether the right regulations and ethical frameworks are in place to implement AI in a way that builds trust and legitimacy. Covers data protection and privacy legislation, cybersecurity, the legal framework's adaptability to digital business models, a national AI ethics framework, and public-sector accountability.","Oxford Insights GAIRI 2022, Annex 1"
2021-2024,dimension,Government,Digital Capacity,,GOV_DIGITAL_CAPACITY,Digital Capacity,"The existing digital capacity within government. Covers the maturity of online public services and e-government delivery, foundational government IT infrastructure, and government promotion of investment in emerging technologies.","Oxford Insights GAIRI 2022, Annex 1"
2021-2024,dimension,Government,Adaptability,,GOV_ADAPTABILITY,Adaptability,"Whether the government can change and innovate effectively. Covers overall government effectiveness, the government's responsiveness to change, and the use of open data in public procurement.","Oxford Insights GAIRI 2022, Annex 1"
2021-2024,dimension,Technology Sector,Maturity,,TECH_MATURITY,Maturity,"Whether the country has a technology sector capable of supplying government with AI technologies. Covers the number of AI and non-AI technology unicorns, the value of trade in ICT services and goods per capita, and computer software spending. (Labelled 'Size' in the 2021 edition.)","Oxford Insights GAIRI 2022, Annex 1"
2021-2024,dimension,Technology Sector,Innovation Capacity,,TECH_INNOVATION,Innovation Capacity,"Whether the technology sector has the right conditions to support innovation. Covers the ease of business administrative requirements, venture-capital availability, research and development spending, company investment in emerging technology, and AI research-paper output.","Oxford Insights GAIRI 2022, Annex 1"
2021-2024,dimension,Technology Sector,Human Capital,,TECH_HUMAN_CAPITAL,Human Capital,"Whether the population has the right skills to support the technology sector. Covers STEM graduates, software-developer (GitHub) activity, female STEM graduates, the quality of engineering and technology higher education, and general digital skills.","Oxford Insights GAIRI 2022, Annex 1"
